,raw,clean,lemmas,color,gender,keywords
133,"Estilo 1056 Analog Watch  - For Boys, Men",estilo 1056 analog watch   for boys men,estilo 1056 analog watch for boy men,[],['boy'],boy men analog watch estilo 
134,Jack klein BlackLed Digital Watch  - For Boys,jack klein blackled digital watch   for boys,jack klein blackled digital watch for boy,[],['boy'],blackled digital klein blackled jack klein 
135,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",north moon iw005fk silicone ion digital watch   for boys girls women,north moon iw005fk silicone ion digital watch for boy girl woman,[],"['girl', 'boy', 'woman']",girl woman silicone ion north moon 
136,Foot Candy Boots,foot candy boots,foot candy boot,[],[],foot candy boot foot candy 
137,Credos Boots,credos boots,credo boot,[],[],boot credo credo boot 
138,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",rich club apple shaped led digital watch   for boys girls,rich club apple shaped led digital watch for boy girl,[],"['girl', 'boy']",club apple boy girl rich club 
139,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",skmei ad1031black formal analogdigital watch   for men boys,skmei ad1031black formal analogdigital watch for men boy,[],['boy'],men boy formal analogdigital skmei 
140,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",kms ironmanlookledblack11 digital watch   for men women girls boys,km ironmanlookledblack11 digital watch for men woman girl boy,[],"['girl', 'boy', 'woman']",men woman girl boy digital watch 
141,Anand Archies Boots,anand archies boots,anand archies boot,[],[],anand archies boot anand archies 
142,Magnum Footwear Lifestyle Boots,magnum footwear lifestyle boots,magnum footwear lifestyle boot,[],[],footwear lifestyle lifestyle boot magnum footwear 
143,Swag 670038 Analog Watch  - For Boys,swag 670038 analog watch   for boys,swag 670038 analog watch for boy,[],['boy'],analog analog watch swag 
144,Bonzer Boots,bonzer boots,bonzer boot,[],[],boot bonzer bonzer boot 
145,Roadster Skinny Fit Fit Men's Jeans,roadster skinny fit fit mens jeans,roadster skinny fit fit men jean,[],[],skinny fit men jean roadster skinny 
146,Selfie Black Denim Boots,selfie black denim boots,selfie black denim boot,['black'],[],black denim denim boot selfie black 
147,Steppings Boots Boots,steppings boots boots,steppings boot boot,[],[],steppings boot boot steppings boot 
148,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",qq lla2213 digital watch   for boys girls,qq lla2213 digital watch for boy girl,[],"['girl', 'boy']",digital boy girl digital watch 
149,Belle Gambe Winter Boots,belle gambe winter boots,belle gambe winter boot,[],[],gambe winter winter boot belle gambe 
150,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",hala red in black trendy digital digital watch   for boys girls men,hala red in black trendy digital digital watch for boy girl men,"['black', 'red']","['girl', 'boy']",black trendy girl men hala red 
